Comment,Compound,Positive,Negative,Neutral
And these are the same people who complain that there is no fun pop anymore,-0.6372,0.0,0.286,0.714
Surprised people were expecting anything besides a generic pop route? Most of the music he’s produced + his general taste in music is really reflective of this particular sound. I would be shocked if his album was experimental.,-0.1027,0.047,0.057,0.896
"He’s capable of more, we’ve seen it in his BTS career. As a big fan, I am a tiny bit scared all the specific colors we love in JK came more from the songwriters in the group, specifically RM, SUGA and Jhope, who all create with specific references and with a singular vision. JK was almost like their instrument. I don’t know if he even knows what he wants to express. I do have faith he’ll figure it out as he goes through this process without the other members. To me, Jimin’s solo remains a revelation because it was so raw and personal even if it wasn’t perfect or super polished.",0.978,0.234,0.022,0.745
"Craig David impact! but seriously, the whole song feels like an homage to him",0.3595,0.201,0.117,0.682
I think folks are pretty mixed actually. It’s def the least personal of all the solos so far. I’ll forever be a Like Crazy lover. That song goes deep and yet makes you dance. THIS WILL BREAK ME...,0.7964,0.207,0.052,0.741
"I thought Seven was going to mean something about his members and life in band. Gurl i got the shock of my life when i heard that ""fucking you right""",-0.3818,0.0,0.082,0.918
"I saw a tiktok joking about him being raunchy on the song and then I hear ""fucking you right seven days a week"", the Latto feature makes perfect sense now. This is a good first single and makes me want to hear his album.

Listing the days of the week is very basic but I'm a basic bitch so let me go add this to my playlists right quick.",-0.3182,0.091,0.068,0.841
Nice to see Craig David has made it to Korea,0.4215,0.237,0.0,0.763
"The explicit version, BYE.",0.0,0.0,0.0,1.0
"I like this, it's kinda giving 2000s British UK RnB/Pop.",0.5584,0.365,0.0,0.635
"The explicit version sent me, good on JK for giving us confirmation that he indeed, fucks.",0.5904,0.344,0.135,0.521
"I feel like this is a big deal for Latto yet I didn’t see her hardly promoting, if she did any.",0.5729,0.199,0.0,0.801
I need to get railed to this song’s explicit ver omfg,0.0,0.0,0.0,1.0
Now why jungkook saying ill be fawking you right woke up something carnal inside me,-0.4215,0.0,0.167,0.833
"The explicit version OMFG. I love Jungkook’s tone so much, it’s pleasing to the ears and it’s melodic. This is such a bop",0.8344,0.272,0.0,0.728
THE EXPLICIT VERSION?? He claiming hot boy summer loud and proud,0.5362,0.257,0.0,0.743
"I think his voice has the ability to make any song into pop excellence, no matter how generic. Can't wait for his album!",0.7662,0.241,0.039,0.72
JUNGKOOK,0.0,0.0,0.0,1.0
They ate this.,0.0,0.0,0.0,1.0
I have lost my mind and it’s rolling down 5th Ave as I wait to somehow face this man in person in seven hours,-0.3182,0.0,0.091,0.909
"I haven’t listened to their music before but that chorus was hot lol.

Really I am so here for these sweet garage drums, will have this on repeat just for that! UK garage going mainstream right now would be so fun. The production and mix in general is great on this track, I also love the vocals. Lots of good bops this summer",0.9863,0.338,0.0,0.662
I think I prefer the clean version. It's like the modern Tonight by Enrique Iglesias (affectionate). Probably my favorite of the BTS solos I've heard,0.8779,0.346,0.0,0.654
Explicit version,0.0,0.0,0.0,1.0
Latto really smooth on this,0.0,0.0,0.0,1.0
better than dreamers thats for sure,0.6369,0.565,0.0,0.435
"i didn't expect anything going into this, but it was actually good lmaoo",0.5927,0.243,0.0,0.757
wait this eats??,0.0,0.0,0.0,1.0
"Wow dnb has been taking KPop by storm! He kinda is giving me Justin bieber vibes, I love the video the song is a vibe",0.8863,0.321,0.0,0.679
"What’s up with all these “omg it’s explicit, he swears 🥵” comments?",0.0516,0.091,0.0,0.909
"oh this is going number one, even without the army streams",0.0772,0.115,0.0,0.885
"this sound is great for him, hope he drops a project in the future",0.7906,0.368,0.0,0.632
BIG LATTO,0.0,0.0,0.0,1.0
the explicit version. 🥵,0.0,0.0,0.0,1.0
the explicit version… i am drooling,0.0,0.0,0.0,1.0
"The chorus sounds like he asked an AI to generate him a song based on 7 Days by Craig David, Tonight I’m Fucking You by Enrique Iglesias, and iYiYi by Cody Simpson. It’s not bad though! Basic, but catchy and has good vocals. If he keeps putting out songs like this in English that are radio friendly then he has a good shot at legitimate main pop boy status outside just his fandom.",0.9596,0.223,0.0,0.777
I love it. I actually like the explicit version even more. Very spicy indeed! 😍,0.8822,0.406,0.0,0.594
"Lyrics are risque, don't think any young idols will be doing covers.

But the song itself is good, very well sung too.

And roping in Han So Hee was smart, because our boyo JK can't act,  her expressions are miles ahead.

Well guess no one can be universally gifted. 

But he got ample other gifts.",0.9347,0.247,0.041,0.712
"At least Latto is up to to changing the sheets each day and phone on camera roll.. that is inviting trouble.

JK sure knows his target audience.

And safer in English, that way Koreans won't be discomfited.",0.7456,0.224,0.06,0.715
I’m sorry but I cannot with songs that list the days of the week in the chorus. It’s a no for me.,-0.4497,0.0,0.165,0.835
All this sudden drum and bass in kpop is so interesting lmao,0.8257,0.434,0.0,0.566
Oh Nicki don’t make that face,0.0,0.0,0.0,1.0
"Oh good more half baked, lukewarm garage inspired production in kpop. Kpop manages to take a trend and absolutely beat it to death every single time. Someone in this thread even calls this dnb? Painful.

As a British person, raised on this music I really do not like this. This is making me feel *very* defensively patriotic. 

🇬🇧🚬MY CULTURE IS NOT A COSTUME. 🇬🇧🍺 MAKE GARAGE BRITISH AGAIN 🇬🇧🚬 MAKE DNB BRITISH AGAIN 🇬🇧🍺",-0.6081,0.067,0.121,0.812
The song is good it's going to be a good but i think post Malone's new song is better overdrive>seven,0.775,0.313,0.0,0.687
[deleted],0.0,0.0,0.0,1.0
"Very generic and boring
Also stealing from UK garage music because it's popular globally now, sigh who is shocked by kpop doing that's again",-0.6872,0.124,0.272,0.604
"Not even surprised kpop is now jumping on the UK garage music scene
Can they do anything unique challenge?",-0.0941,0.065,0.083,0.851
im not streaming because of LatTOE,0.0,0.0,0.0,1.0
"It was 7 am for me and I was working and suddenly heard what he will do and i immediately shut it off because my coworker looked at me like damn. You cannot hear it on speaker lol. Gotta love my boy, serving comedy and sexy at the same time",0.9136,0.248,0.043,0.709
Right! I see some people comparing it to Charlie puth or calling it a “Charlie puth reject” but it’s really Craig David and Pinkpantheress and it fits him tbh!,0.0,0.0,0.0,1.0
Ooh its Craig David inspired? Bet.I loved fill me in.,0.7964,0.47,0.0,0.53
"(This is lowkey cool though, I'm into it).",0.3182,0.247,0.0,0.753
[deleted],0.0,0.0,0.0,1.0
